Time,Theta1,Theta2,Theta1_dot,Theta2_dot
1.301,-3.20550583501058,0.349093712435605,0.281025622024922,-2.19205336087166
1.302,-3.2052185468156,0.346893694424316,0.293553761829823,-2.20799426274962
1.303,-3.20491872748692,0.344677723910106,0.306087933674925,-2.22395855657098
1.304,-3.20460637094825,0.342445777311174,0.318628224301731,-2.23994661585766
1.305,-3.20428147103831,0.340197830678391,0.331174716958093,-2.25595880157747
1.306,-3.20394402151434,0.337933859708019,0.343727491284751,-2.27199546179224
1.307,-3.20359401605575,0.335653839754806,0.356286623198976,-2.28805693129888
1.308,-3.20323144826794,0.333357745845422,0.368852184775114,-2.30414353126326
1.309,-3.2028563116862,0.33104555269228,0.38142424412535,-2.3202555688471
1.31,-3.20246859977969,0.328717234707727,0.394002865275355,-2.33639333682783
1.311,-3.20206830595564,0.326372766018624,0.406588108038619,-2.35255711321122
1.312,-3.20165542356361,0.324012120481305,0.419180027888988,-2.36874716083687
1.313,-3.20122994589987,0.32163527169695,0.431778675830996,-2.38496372697683
1.314,-3.20079186621195,0.319242193027351,0.444384098266859,-2.4012070429269
1.315,-3.20034117770333,0.316832857611096,0.456996336861692,-2.41747732359107
1.316,-3.19987787353823,0.314407238380169,0.469615428407177,-2.43377476705886
1.317,-3.19940194684652,0.311965308076979,0.482241404681893,-2.45009955417574
1.318,-3.19891339072886,0.309507039271818,0.494874292310321,-2.46645184810667
1.319,-3.1984121982619,0.307032404380765,0.507514112618956,-2.4828317938928
1.32,-3.19789836250362,0.304541375684032,0.520160881490205,-2.49923951800146
1.321,-3.19737187649892,0.302033925344762,0.53281460921517,-2.51567512786946
1.322,-3.19683273328519,0.299510025428293,0.545475300343767,-2.53213871143995
1.323,-3.19628092589823,0.296969647921882,0.558142953532403,-2.54863033669292
1.324,-3.19571644737813,0.294412764754907,0.570817561389436,-2.5651500511693
1.325,-3.19513929077545,0.291839347819544,0.583499110320184,-2.58169788148904
1.326,-3.19454944915749,0.289249368991929,0.596187580369278,-2.59827383286332
1.327,-3.19394691561471,0.286642800153817,0.608882945059674,-2.61487788860093
1.328,-3.19333168326737,0.284019613214727,0.621585171232563,-2.6315100096092
1.329,-3.19270374527225,0.281379780134599,0.634294218884168,-2.64817013388965
1.33,-3.1920630948296,0.278723272946948,0.647010041000539,-2.66485817602849
1.331,-3.19140972519025,0.276050063782542,0.65973258339258,-2.68157402668237
1.332,-3.19074362966282,0.273360124893583,0.672461784527733,-2.69831755205968
1.333,-3.19006480162119,0.270653428678422,0.685197575361451,-2.71508859339758
1.334,-3.18937323451209,0.267929947706788,0.697939879167108,-2.73188696643522
1.335,-3.18866892186286,0.265189654745552,0.710688611365472,-2.74871246088343
1.336,-3.18795185728936,0.262432522785021,0.723443679353063,-2.76556483989112
1.337,-3.18722203450415,0.25965852506577,0.736204982328514,-2.78244383950926
1.338,-3.18647944732471,0.256867635106003,0.748972411120041,-2.79934916815222
1.339,-3.18572408968191,0.254059826729465,0.761745848011363,-2.81628050605736
1.34,-3.18495595562868,0.251235074093888,0.77452516656784,-2.83323750474329
1.341,-3.18417503934877,0.248393351719979,0.787310231462168,-2.85021978646704
1.342,-3.18338133516576,0.245534634520954,0.800100898299404,-2.86722694368108
1.343,-3.18257483755218,0.242658897832617,0.812897013444002,-2.88425853849036
1.344,-3.18175554113887,0.239766117443973,0.825698413845721,-2.90131410211025
1.345,-3.18092344072448,0.236856269628396,0.83850492686599,-2.91839313432576
1.346,-3.18007853128514,0.233929331175322,0.851316370106491,-2.93549510295285
1.347,-3.17922080798427,0.23098527942249,0.864132551237517,-2.95261944330237
1.348,-3.17835026618266,0.228024092288717,0.87695326782855,-2.96976555764755
1.349,-3.17746690144861,0.225045748307195,0.889778307179733,-2.98693281469549
1.35,-3.1765707095683,0.222050226659326,0.90260744615489,-3.00412054906362
1.351,-3.1756616865563,0.219037507209068,0.915440451017656,-3.02132806076192
1.352,-3.17473982866627,0.216007570537802,0.92827707726939,-3.03855461468151
1.353,-3.17380513240177,0.212960397979705,0.941117069489294,-3.05579944009082
1.354,-3.17285759452729,0.209895971657621,0.953960161177879,-3.07306173013995
1.355,-3.17189721207941,0.206814274519425,0.966806074603753,-3.09034064137427
1.356,-3.17092398237808,0.203715290374872,0.979654520654182,-3.1076352932582
1.357,-3.1699379030381,0.200599003932909,0.992505198688986,-3.12494476771008
1.358,-3.1689389719807,0.197465400839452,1.00535779639887,-3.14226810864924
1.359,-3.1679271874453,0.19431446771561,1.01821198966823,-3.15960432155641
1.36,-3.16690254800137,0.191146192196339,1.03106744244319,-3.17695237304824
1.361,-3.16586505256042,0.187960562969514,1.04392380660556,-3.19431119046727
1.362,-3.16481470038816,0.184757569815404,1.05678072185067,-3.21167966148858
1.363,-3.16375149111672,0.181537203646536,1.06963781557279,-3.22905663374397
1.364,-3.16267542475701,0.178299456547916,1.08249470275701,-3.24644091446506
1.365,-3.1615865017112,0.175044321817606,1.09535098587665,-3.26383127014659
1.366,-3.16048472278526,0.171771794007623,1.10820625480024,-3.28122642623098
1.367,-3.1593700892016,0.168481868965144,1.12106008670398,-3.29862506681547
1.368,-3.15824260261185,0.165174543873992,1.13391204599367,-3.31602583438318
1.369,-3.15710226510961,0.161849817296378,1.14676168423466,-3.3334273295594
1.37,-3.15594907924338,0.158507689214874,1.15960854009089,-3.35082811089422
1.371,-3.15478304802943,0.15514816107459,1.17245213927397,-3.36822669467312
1.372,-3.15360417496483,0.151771235825527,1.18529199450124,-3.38562155475669
1.373,-3.15241246404043,0.148376917965076,1.19812760546489,-3.40301112245081
1.374,-3.1512079197539,0.144965213580626,1.21095845881136,-3.42039378640876
1.375,-3.14999054712281,0.141536130392259,1.22378402813239,-3.43776789256655
1.376,-3.14876035169764,0.138089677795493,1.23660377396795,-3.4551317441128
1.377,-3.14751733957487,0.134625866904033,1.24941714382065,-3.47248360149459
1.378,-3.14626151741,0.131144710592503,1.26222357218308,-3.4898216824607
1.379,-3.14499289243051,0.127646223539112,1.27502248057865,-3.50714416214337
1.38,-3.14371147244884,0.124130422268217,1.28781327761507,-3.52444917318007
1.381,-3.14241726587528,0.120597325192752,1.30059535905236,-3.54173480587661
1.382,-3.14111028173073,0.117046952656463,1.31336810788518,-3.55899910841278
1.383,-3.1397905296595,0.113479326975926,1.32613089443967,-3.57624008709185
1.384,-3.13845801994186,0.10989447248228,1.33888307648577,-3.59345570663515
1.385,-3.13711276350653,0.106292415562656,1.35162399936472,-3.61064389052286
1.386,-3.13575477194313,0.102673184701234,1.36435299613224,-3.62780252138235
1.387,-3.13438405751427,0.0990368105198909,1.37706938771931,-3.64492944142491
1.388,-3.13300063316769,0.0953833258183841,1.38977248310823,-3.66202245293221
1.389,-3.13160451254805,0.0917127656140265,1.40246157952584,-3.67907931879334
1.39,-3.13019571000864,0.0880251671807975,1.41513596265508,-3.69609776309332
1.391,-3.12877424062274,0.0843205700878399,1.42779490686307,-3.71307547175417
1.392,-3.12734012019491,0.0805990162372891,1.44043767544666,-3.73001009322918
1.393,-3.12589336527185,0.0768605499013815,1.45306352089736,-3.74689923925111
1.394,-3.12443399315311,0.0731052177587869,1.46567168518397,-3.76374048563512
1.395,-3.12296202190148,0.0693330689301112,1.47826140005325,-3.78053137313683
1.396,-3.12147747035301,0.0655441550125132,1.49083188734877,-3.79726940836609
1.397,-3.11998035812678,0.0617385301133791,1.50338235934977,-3.81395206475674
1.398,-3.11847070563431,0.0579162508829997,1.51591201912837,-3.83057678359277
1.399,-3.11694853408853,0.0540773765461935,1.52842006092491,-3.84714097509092
1.4,-3.11541386551246,0.0502219689328179,1.54090567054199,-3.8636420195398
1.401,-3.11386672274744,0.0463500925071139,1.55336802575867,-3.88007726849551
1.402,-3.11230712946094,0.0424618143958269,1.56580629676184,-3.89644404603352
1.403,-3.11073511015392,0.0385572044150469,1.57821964659699,-3.91273965005654
1.404,-3.10915069016775,0.0346363350957138,1.59060723163695,-3.92896135365792
1.405,-3.10755389569064,0.030699281707731,1.60296820206906,-3.94510640653992
1.406,-3.10594475376361,0.0267461222826339,1.61530170240032,-3.96117203648634
1.407,-3.10432329228584,0.0227769376347583,1.62760687197956,-3.97715545088884
1.408,-3.10268954001965,0.0187918113808571,1.63988284553729,-3.99305383832307
1.409,-3.10104352659477,0.0147908299581122,1.65212875374299,-4.0088643701826
1.41,-3.09938528251216,0.0107740826404919,1.6643437237771,-4.024584202354
1.411,-3.09771483914722,0.0067416615534042,1.67652687992103,-4.040210476947
1.412,-3.09603222875232,0.00269366168659791,1.68867734416067,-4.05574032406896
1.413,-3.09433748445889,-0.00136981909473374,1.70079423680591,-4.07117086364491
1.414,-3.09263064027871,-0.00544868004069192,1.71287667712327,-4.08649920728087
1.415,-3.09091173110465,-0.00954281750929548,1.72492378398181,-4.10172246016844
1.416,-3.08918079271075,-0.0136521249610288,1.73693467651326,-4.11683772302845
1.417,-3.08743786175162,-0.0177764929553524,1.74890847478215,-4.13184209409136
1.418,-3.08568297576118,-0.0219158091492115,1.76084430046708,-4.14673267111181
1.419,-3.08391617315069,-0.026069958297576,1.77274127755345,-4.16150655341499
1.42,-3.08213749320608,-0.0302388222560415,1.78459853303359,-4.17616084397182
1.421,-3.08034697608462,-0.0344222799855197,1.79641519761553,-4.19069265150011
1.422,-3.07854466281084,-0.0386202075590417,1.80819040643998,-4.20509909258888
1.423,-3.07673059527174,-0.0428324781706974,1.81992329980196,-4.21937729384248
1.424,-3.07490481621124,-0.0470589621467267,1.83161302387713,-4.23352439404142
1.425,-3.07306736922399,-0.0512995269587803,1.84325873145274,-4.2475375463165
1.426,-3.07121829874834,-0.0555540372393597,1.85485958266174,-4.2614139203329
1.427,-3.06935765005866,-0.0598223547994461,1.8664147457168,-4.27515070448056
1.428,-3.0674854692569,-0.0641043386483209,1.87792339764492,-4.28874510806735
1.429,-3.06560180326337,-0.0683998450155808,1.88938472502165,-4.30219436351128
1.43,-3.06370669980686,-0.0727087273753434,1.90079792470188,-4.31549572852809
1.431,-3.06180020741397,-0.077030836472637,1.91216220454771,-4.32864648831028
1.432,-3.05988237539776,-0.081366020351964,1.92347678415139,-4.34164395769391
1.433,-3.05795325384567,-0.0857141243880248,1.93474089555168,-4.35448548330916
1.434,-3.05601289360666,-0.0900749913185823,1.94595378394213,-4.36716844571093
1.435,-3.05406134627778,-0.0944484612794467,1.95711470837101,-4.37969026148531
1.436,-3.05209866418992,-0.098834371841553,1.96822294243137,-4.39204838532838
1.437,-3.05012490039292,-0.103232558050103,1.97927777493834,-4.4042403120932
1.438,-3.04814010864004,-0.107642852465739,1.99027851059474,-4.41626357880128
1.439,-3.04614434337173,-0.112065085207706,2.00122447064199,-4.42811576661472
1.44,-3.04413765969876,-0.116499083998969,2.01211499349552,-4.43979450276517
1.441,-3.04212011338474,-0.120944674213236,2.02294943536363,-4.4512974624362
1.442,-3.04009176082803,-0.125401678923841,2.03372717084882,-4.46262237059512
1.443,-3.03805265904304,-0.129869918954427,2.04444759352995,-4.47376700377105
1.444,-3.03600286564097,-0.134349212931383,2.05511011652315,-4.48472919177575
1.445,-3.03394243880999,-0.138839377337978,2.06571417302315,-4.49550681936376
1.446,-3.03187143729492,-0.143340226570111,2.07625921682108,-4.50609782782902
1.447,-3.02978992037635,-0.147851572993636,2.08674472279968,-4.51650021653461
1.448,-3.02769794784932,-0.15237322700318,2.09717018740329,-4.52671204437295
1.449,-3.02559558000155,-0.156904997082382,2.1075351290829,-4.53673143115374
1.45,-3.02348287759116,-0.161446689865488,2.11783908871577,-4.54655655891689
1.451,-3.02135990182411,-0.165998110200216,2.12808162999733,-4.5561856731683
1.452,-3.01922671433116,-0.170559061211824,2.13826233980629,-4.56561708403617
1.453,-3.0170833771445,-0.175129344368288,2.14838082854007,-4.57484916734589
1.454,-3.01492995267408,-0.179708759546516,2.15843673042304,-4.58388036561159
1.455,-3.01276650368366,-0.184297105099511,2.16842970378428,-4.59270918894291
1.456,-3.01059309326652,-0.188894177924402,2.17835943130584,-4.60133421586549
1.457,-3.00840978482104,-0.193499773531242,2.18822562024101,-4.60975409405395
1.458,-3.00621664202603,-0.19811368611251,2.19802800260083,-4.61796754097654
1.459,-3.00401372881584,-0.202735708613195,2.20776633531217,-4.62597334445046
1.46,-3.00180110935541,-0.207365632801411,2.21744040034233,-4.63377036310759
1.461,-2.99957884801516,-0.212003249339411,2.22705000479384,-4.64135752677007
1.462,-2.99734700934582,-0.216648347854951,2.23659498096884,-4.64873383673568
1.463,-2.99510565805322,-0.221300717012882,2.24607518640085,-4.65589836597331
1.464,-2.99285485897302,-0.225960144586897,2.25549050385698,-4.66285025922849
1.465,-2.99059467704551,-0.230626417531339,2.26484084130862,-4.66958873303986
1.466,-2.9883251772904,-0.235299322052977,2.27412613187239,-4.6761130756671
1.467,-2.98604642478176,-0.239978643682673,2.28334633372151,-4.68242264693132
1.468,-2.98375848462296,-0.24466416734684,2.29250142996617,-4.6885168779691
1.469,-2.98146142192183,-0.249355677438611,2.30159142850517,-4.69439527090148
1.47,-2.97915530176595,-0.254052957888643,2.31061636184959,-4.70005739841933
1.471,-2.97684018919813,-0.25875579223545,2.31957628691814,-4.70550290328697
1.472,-2.97451614919211,-0.263463963695217,2.32847128480529,-4.71073149776571
1.473,-2.97218324662852,-0.268177255230982,2.33730146052213,-4.7157429629594
1.474,-2.96984154627107,-0.272895449621135,2.34606694271155,-4.72053714808437
1.475,-2.9674911127431,-0.27761832952715,2.35476788333888,-4.72511396966574
1.476,-2.96513201050439,-0.282345677560467,2.36340445735794,-4.72947341066265
1.477,-2.96276430382838,-0.287077276348476,2.37197686235357,-4.73361551952522
1.478,-2.96038805677968,-0.291812908599517,2.38048531816215,-4.73754040918564
1.479,-2.95800333319206,-0.296552357166847,2.38893006647034,-4.74124825598631
1.48,-2.95561019664674,-0.30129540511149,2.39731137039367,-4.74473929854793
1.481,-2.95320871045127,-0.306041835763943,2.40562951403511,-4.74801383658041
1.482,-2.95079893761867,-0.310791432784651,2.41388480202609,-4.75107222963971
1.483,-2.94838094084722,-0.315543980223222,2.42207755904999,-4.75391489583379
1.484,-2.94595478250057,-0.320299262576318,2.43020812934902,-4.7565423104805
1.485,-2.94352052458852,-0.325057064844183,2.43827687621656,-4.75895500472095
1.486,-2.94107822874814,-0.32981717258576,2.44628418147452,-4.76115356409145
1.487,-2.93862795622557,-0.334579371972366,2.45423044493931,-4.76313862705704
1.488,-2.93616976785826,-0.339343449839874,2.4621160838747,-4.76491088351019
1.489,-2.93370372405782,-0.344109193739386,2.46994153243474,-4.76647107323771
1.49,-2.93122988479339,-0.34887639198635,2.47770724109664,-4.76781998435896
1.491,-2.92874830957563,-0.353644833708104,2.48541367608523,-4.76895845173888
1.492,-2.92625905744122,-0.358414308889828,2.49306131879079,-4.76988735537881
1.493,-2.92376218693804,-0.363184608418862,2.50065066517946,-4.77060761878817
1.494,-2.92125775611086,-0.367955524127404,2.50818222519866,-4.77112020734021
1.495,-2.91874582248765,-0.372726848833542,2.51565652217911,-4.77142612661502
1.496,-2.9162264430665,-0.377498376380634,2.52307409223329,-4.77152642073228
1.497,-2.91369967430318,-0.382269901675007,2.53043548365084,-4.77142217067713
1.498,-2.9111655720992,-0.387041220721988,2.53774125629347,-4.77111449262199
1.499,-2.90862419179059,-0.391812130660251,2.54499198098945,-4.77060453624661
1.5,-2.90607558813722,-0.396582429794482,2.55218823892922,-4.76989348305947
1.501,-2.90351981531274,-0.40135191762637,2.55933062106184,-4.76898254472316
1.502,-2.9009569268951,-0.406120394883928,2.56641972749327,-4.76787296138583
1.503,-2.89838697585775,-0.410887663549142,2.57345616688909,-4.76656600002148
1.504,-2.89581001456132,-0.415653526883971,2.58044055588113,-4.76506295278125
1.505,-2.89322609474599,-0.420417789454704,2.58737351847715,-4.76336513535782
1.506,-2.89063526752437,-0.425180257154686,2.59425568547744,-4.76147388536524
1.507,-2.88803758337503,-0.429940737225435,2.60108769389755,-4.75939056073607
1.508,-2.88543309213657,-0.434699038276159,2.60787018639674,-4.75711653813751
1.509,-2.88282184300224,-0.43945497030171,2.61460381071421,-4.75465321140877
1.51,-2.88020388451514,-0.444208344698976,2.62128921911397,-4.75200199002098
1.511,-2.87757926456401,-0.448958974281752,2.6279270678371,-4.74916429756117
1.512,-2.87494803037947,-0.453706673294099,2.63451801656256,-4.74614157024211
1.513,-2.87231022853089,-0.458451257422236,2.64106272787945,-4.74293525543914
1.514,-2.86966590492371,-0.463192543804977,2.64756186676673,-4.73954681025518
1.515,-2.86701510479735,-0.467930351042746,2.65401610008386,-4.73597770011527
